Documento compras,Material,Texto breve,Fecha documento,Fecha Ingreso,Promedio de LT,Cantidad 
5300000682,109764001,"MOTO CARABELA INDY 250CC, NEGRO",2025-12-01 00:00:00,2026-02-16 00:00:00,77.00,20
5300000724,108652001,"MOTO DINAMO ADVENTURE ELITE 150CC, ROJO",2025-12-23 00:00:00,2026-01-03 00:00:00,11.00,1
5300000724,108652002,"MOTO DINAMO ADVENTURE ELITE 150C, BLANCO",2025-12-23 00:00:00,2026-01-03 00:00:00,11.00,1
5300000724,108690002,"MOTO DINAMO SCORPIO 200CC, BLANCO",2025-12-23 00:00:00,2026-01-03 00:00:00,11.00,1
5300000725,108652001,"MOTO DINAMO ADVENTURE ELITE 150CC, ROJO",2026-01-02 00:00:00,2026-01-06 00:00:00,4.00,2
5300000725,108652002,"MOTO DINAMO ADVENTURE ELITE 150C, BLANCO",2026-01-02 00:00:00,2026-01-02 00:00:00,2.00,2
5300000725,108690001,"MOTO DINAMO SCORPIO 200CC, ROJO",2026-01-02 00:00:00,2026-01-02 00:00:00,0.00,1
5300000725,108691002,"MOTO DINAMO U5 150CC, AZUL",2026-01-02 00:00:00,2026-01-02 00:00:00,2.00,2
5300000725,109118002,"MOTO DINAMO U2 150CC, AZUL",2026-01-02 00:00:00,2026-01-06 00:00:00,4.00,2
5300000725,109119001,"MOTO DINAMO METRO 125CC, ROJO",2026-01-02 00:00:00,2026-01-06 00:00:00,4.00,1
5300000725,109130003,"MOTO DINAMO R2-GT 250CC, AMARILLO",2026-01-02 00:00:00,2026-01-06 00:00:00,4.00,2
4500564455,108955003,"MOTO BDS JAMBO 180CC, GRIS",2026-01-05 00:00:00,2026-01-06 00:00:00,1.00,-2
5300000726,109040001,"MOTO BDS CASTORO 180CC, AZUL",2026-01-05 00:00:00,2026-01-07 00:00:00,2.00,22
5300000726,109040003,"MOTO BDS CASTORO 180CC, AMARILLO",2026-01-05 00:00:00,2026-01-07 00:00:00,2.00,22
5300000727,108652001,"MOTO DINAMO ADVENTURE ELITE 150CC, ROJO",2026-01-06 00:00:00,2026-01-07 00:00:00,4.00,2
5300000727,108652002,"MOTO DINAMO ADVENTURE ELITE 150C, BLANCO",2026-01-06 00:00:00,2026-01-13 00:00:00,7.00,3
5300000727,108655001,"MOTO DINAMO CUSTOM 150CC, ROJO",2026-01-06 00:00:00,2026-01-07 00:00:00,1.00,1
5300000727,108691001,"MOTO DINAMO U5 150CC, ROJO",2026-01-06 00:00:00,2026-01-09 00:00:00,3.00,2
5300000727,108691003,"MOTO DINAMO U5 150CC, GRIS",2026-01-06 00:00:00,2026-01-13 00:00:00,7.00,1
5300000727,109118001,"MOTO DINAMO U2 150CC, ROJO",2026-01-06 00:00:00,2026-01-09 00:00:00,3.00,1
5300000727,109118002,"MOTO DINAMO U2 150CC, AZUL",2026-01-06 00:00:00,2026-01-09 00:00:00,3.00,2
5300000727,109130002,"MOTO DINAMO R2-GT 250CC, GRIS",2026-01-06 00:00:00,2026-01-06 00:00:00,0.00,1
5300000727,109130003,"MOTO DINAMO R2-GT 250CC, AMARILLO",2026-01-06 00:00:00,2026-01-13 00:00:00,7.00,1
5300000728,108813001,"MOTO BDS HAWK 200CC, NEGRO",2026-01-08 00:00:00,2026-01-29 00:00:00,21.00,20
5300000728,108814001,"MOTO BDS THUNDER 170CC, NEGRO",2026-01-08 00:00:00,2026-01-29 00:00:00,21.00,20
5300000728,109040003,"MOTO BDS CASTORO 180CC, ORO",2026-01-08 00:00:00,2026-01-29 00:00:00,21.00,1
5300000728,109569001,"MOTO BDS SB 180CC, BLANCO",2026-01-08 00:00:00,2026-01-29 00:00:00,21.00,3
5300000729,108721001,"MOTO BDS SAETA 150CC, AZUL",2026-01-09 00:00:00,2026-01-20 00:00:00,11.00,14
5300000729,108813001,"MOTO BDS HAWK 200CC, NEGRO",2026-01-09 00:00:00,2026-01-20 00:00:00,11.00,5
5300000729,109031001,"MOTO BDS HAWK GT 250CC, AZUL",2026-01-09 00:00:00,2026-01-20 00:00:00,11.00,2
5300000729,109040001,"MOTO BDS CASTORO 180CC, AZUL",2026-01-09 00:00:00,2026-01-20 00:00:00,11.00,5
5300000729,109040003,"MOTO BDS CASTORO 180CC, AMARILLO",2026-01-09 00:00:00,2026-01-20 00:00:00,11.00,10
5300000729,109233002,"MOTO BDS MAGMA 150CC, NEGRO",2026-01-09 00:00:00,2026-01-20 00:00:00,11.00,2
5300000729,109233004,"MOTO BDS MAGMA 150CC, GRIS",2026-01-09 00:00:00,2026-01-20 00:00:00,11.00,2
5300000729,109783001,"MOTO BDS RHINO 200CC, AZUL",2026-01-09 00:00:00,2026-01-20 00:00:00,11.00,2
5300000730,108726001,"MOTO BDS STARK 250CC, ROJO",2026-01-09 00:00:00,2026-01-20 00:00:00,11.00,2
5300000730,108726002,"MOTO BDS STARK 250CC, GRIS",2026-01-09 00:00:00,2026-01-20 00:00:00,11.00,1
5300000730,108813001,"MOTO BDS HAWK 200CC, NEGRO",2026-01-09 00:00:00,2026-01-20 00:00:00,11.00,14
5300000730,109031001,"MOTO BDS HAWK GT 250CC, AZUL",2026-01-09 00:00:00,2026-01-20 00:00:00,11.00,3
5300000730,109233001,"MOTO BDS MAGMA 150CC, ROJO",2026-01-09 00:00:00,2026-01-20 00:00:00,11.00,5
5300000730,109234001,"MOTO BDS STARK 300CC, ROJO",2026-01-09 00:00:00,2026-01-20 00:00:00,11.00,2
5300000730,109234002,"MOTO BDS STARK 300CC, AZUL",2026-01-09 00:00:00,2026-01-20 00:00:00,11.00,1
5300000730,109569001,"MOTO BDS SB 180CC, BLANCO",2026-01-09 00:00:00,2026-01-20 00:00:00,11.00,16
5300000731,108726001,"MOTO BDS STARK 250CC, ROJO",2026-01-09 00:00:00,2026-01-21 00:00:00,12.00,3
5300000731,108813001,"MOTO BDS HAWK 200CC, NEGRO",2026-01-09 00:00:00,2026-01-21 00:00:00,12.00,23
5300000731,109031001,"MOTO BDS HAWK GT 250CC, AZUL",2026-01-09 00:00:00,2026-01-21 00:00:00,12.00,4
5300000731,109040001,"MOTO BDS CASTORO 180CC, AZUL",2026-01-09 00:00:00,2026-01-21 00:00:00,12.00,5
5300000731,109040003,"MOTO BDS CASTORO 180CC, AMARILLO",2026-01-09 00:00:00,2026-01-21 00:00:00,12.00,3
5300000731,109233002,"MOTO BDS MAGMA 150CC, NEGRO",2026-01-09 00:00:00,2026-01-21 00:00:00,12.00,3
5300000731,109233003,"MOTO BDS MAGMA 150CC, AZUL",2026-01-09 00:00:00,2026-01-21 00:00:00,12.00,3
5300000731,109233004,"MOTO BDS MAGMA 150CC, GRIS",2026-01-09 00:00:00,2026-01-21 00:00:00,12.00,3
5300000731,109783001,"MOTO BDS RHINO 200CC, AZUL",2026-01-09 00:00:00,2026-01-21 00:00:00,12.00,3
5300000732,108726002,"MOTO BDS STARK 250CC, GRIS",2026-01-09 00:00:00,2026-01-23 00:00:00,14.00,1
5300000732,108813001,"MOTO BDS HAWK 200CC, NEGRO",2026-01-09 00:00:00,2026-01-23 00:00:00,14.00,10
5300000732,109040001,"MOTO BDS CASTORO 180CC, AZUL",2026-01-09 00:00:00,2026-01-23 00:00:00,14.00,2
5300000732,109040003,"MOTO BDS CASTORO 180CC, AMARILLO",2026-01-09 00:00:00,2026-01-23 00:00:00,14.00,3
5300000732,109638001,"MOTO BDS HAWK 250CC, AZUL",2026-01-09 00:00:00,2026-01-23 00:00:00,14.00,3
5300000732,109783001,"MOTO BDS RHINO 200CC, AZUL",2026-01-09 00:00:00,2026-01-23 00:00:00,14.00,3
5300000733,108662001,"MOTO ISLO FREEDOM 150CC, TITANIO",2026-01-09 00:00:00,2026-01-19 00:00:00,10.00,5
5300000733,108665001,"MOTO CARABELA COYOTE 150CC, AZUL",2026-01-09 00:00:00,2026-01-19 00:00:00,10.00,4
5300000733,108665002,"MOTO CARABELA COYOTE 150CC, TITANIO",2026-01-09 00:00:00,2026-01-19 00:00:00,10.00,4
5300000733,108675001,"MOTO CARABELA DIRT 3 250CC, ROJO",2026-01-09 00:00:00,2026-01-19 00:00:00,10.00,5
5300000733,108812001,"MOTO CARABELA ROUTE R SONORA 20, NARANJA",2026-01-09 00:00:00,2026-01-19 00:00:00,10.00,16
5300000733,109764001,"MOTO CARABELA INDY 250CC, NEGRO",2026-01-09 00:00:00,2026-01-19 00:00:00,10.00,10
5300000734,108668001,"MOTO CARABELA HUNTER 110CC, BLANCO",2026-01-09 00:00:00,2026-01-19 00:00:00,10.00,12
5300000734,108812001,"MOTO CARABELA ROUTE R SONORA 20, NARANJA",2026-01-09 00:00:00,2026-01-19 00:00:00,10.00,10
5300000734,109591001,"MOTO CARABELA DAKOTA ADV 320CC, AMARILLO",2026-01-09 00:00:00,2026-01-19 00:00:00,10.00,10
5300000734,109764001,"MOTO CARABELA INDY 250CC, NEGRO",2026-01-09 00:00:00,2026-01-19 00:00:00,10.00,13
4500567341,108652002,"MOTO DINAMO ADVENTURE ELITE 150C, BLANCO",2026-01-12 00:00:00,2026-01-15 00:00:00,3.00,-1
4500567341,108658003,"MOTO DINAMO METRO SEMI-AUTM 120CC, GRIS",2026-01-12 00:00:00,2026-01-15 00:00:00,3.00,-1
4500567341,108659002,"MOTO DINAMO MONKEY 125CC, AMARILLO",2026-01-12 00:00:00,2026-01-15 00:00:00,3.00,-1
4500567341,108691003,"MOTO DINAMO U5 150CC, GRIS",2026-01-12 00:00:00,2026-01-15 00:00:00,3.00,-1
5300000735,108652002,"MOTO DINAMO ADVENTURE ELITE 150C, BLANCO",2026-01-13 00:00:00,2026-01-13 00:00:00,3.25,4
5300000735,108655003,"MOTO DINAMO CUSTOM 150CC, NEGRO",2026-01-13 00:00:00,2026-01-16 00:00:00,3.00,2
