Proveedor,Texto breve material,CATEGORIA,CEDIS MOTOS,SUCURSAL,Centro,Almacén,IMEI/SERIE,Suma de Libre utilización,Suma de Valor libre util.,Suma de Bloqueado,Suma de Valor stock bloq.,Suma de Inspecc.de calidad,Suma de Valor en insp.cal.
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS CDMX,MACROPAY ATLIXCO MOTOS 3 SUR,1847,10,MD2C19BX7TWJ51583,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS CDMX,MACROPAY CUAUTLA CAPITAN M ANZUREZ 93B,1710,10,MD2C19BX8TWJ51057,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS CDMX,MACROPAY HUEJOTZINGO CARLOS B ZETINA,1233,10,MD2C19BX0TWJ51053,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS CDMX,MACROPAY JIUTEPEC CUAUHNAHUAC,1869,10,MD2C19BX0TWJ51585,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS CDMX,MACROPAY PUE MOMOXPAN LB5,1289,10,MD2C19BX9TWJ51052,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS CDMX,MACROPAY ZUMPANGO FEDERICO,1244,10,MD2C19BXXTWJ51058,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS CULIACAN,MACROPAY DURANGO CENTRO B JUAREZ,1864,10,MD2C19BX5TWH51408,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS CULIACAN,MACROPAY MAZATLAN PLAZA ACAYA L7E,1826,10,MD2C19BX8TWH51452,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS GDL,MACROPAY COLIMA CENTRO MADERO,1932,10,MD2C19BX8TWH51404,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS MID,MACROPAY ESCARCEGA J SIERRA MOTOS,1797,10,MD2C19BX1TWJ51062,1,$29567.33,0,$0,0,0
