Proveedor,Texto breve material,Material,CATEGORIA,CEDIS MOTOS,Centro,SUCURSAL,TIPO DE SUCURSAL,Año,Mes,Día,Suma de Cantidad
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS CDMX,1139,MACROPAY CORDOBA AV 6,CELULAR,2026,julio,30,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS CDMX,1159,MACROPAY TEXMELUCAN GRAN PLAZA L9,CELULAR,2026,agosto,7,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS CDMX,1297,MACROPAY TEOTIHUACAN PLAZA JUAREZ 15,CELULAR,2026,agosto,7,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS CDMX,1400,MACROPAY TLALNEPANTLA ENCUENTRO L29,CELULAR,2026,mayo,31,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS CDMX,1413,MACROPAY PACHUCA JOSE MARIA MORELOS,CELULAR,2026,agosto,16,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS CDMX,1721,MACROPAY VERACRUZ AV MATAMOROS NORTE,PLUS,2026,junio,28,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS CDMX,1747,MACROPAY TOLUCA HIDALGO MOTOS,MOTOS,2026,julio,22,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS CDMX,1869,MACROPAY JIUTEPEC CUAUHNAHUAC,PLUS,2026,julio,31,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS CDMX,1881,MACROPAY ORIZABA NORTE 4 ESQ OTE 3,PLUS,2026,julio,23,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS GDL,1763,MACROPAY MANZANILLO CENTRO AV MEXICO,CELULAR,2026,agosto,8,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS GDL,1832,MACROPAY APATZINGAN CENTRO ANDRADE,PLUS,2026,agosto,4,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS MID,1015,MACROPAY MID EULOGIO,CELULAR,2026,julio,27,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS MID,1036,MACROPAY CHT HEROES 109,CELULAR,2026,junio,22,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS MID,1100,MACROPAY MID MOTOS CALLE 56,MOTOS,2026,junio,16,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS MID,1100,MACROPAY MID MOTOS CALLE 56,MOTOS,2026,agosto,16,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS MID,1390,MACROPAY MID KUKULCAN L03,CELULAR,2026,agosto,3,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS MID,1454,MACROPAY KANASIN CALLE 21,PLUS,2026,julio,13,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS MID,1877,MACROPAY CUN CHEDRAUI MUNDO MAYA,PLUS,2026,junio,14,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS MID,1877,MACROPAY CUN CHEDRAUI MUNDO MAYA,PLUS,2026,junio,15,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS MID,3007,MACROPAY PLAYA DEL C. AMERICAS L7,CELULAR,2026,julio,6,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS SALTILLO,1585,MACROPAY CADEREYTA SORIANA LD5,CELULAR,2026,julio,9,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS SALTILLO,1585,MACROPAY CADEREYTA SORIANA LD5,CELULAR,2026,agosto,11,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS SAN LUIS,1753,MACROPAY TAMPICO CENTRO ADUANA,PLUS,2026,julio,4,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS SAN LUIS,1857,MACROPAY AGUASCALIENTES V ASUNCION,PLUS,2026,julio,7,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS TAB PXGL,1114,MACROPAY PARAISO OCAMPO,CELULAR,2026,junio,5,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS TAB PXGL,1134,MACROPAY TUXTEPEC 20 DE NOV,PLUS,2026,julio,28,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS TAB PXGL,1144,MACROPAY JUCHITAN VALENTIN C,CELULAR,2026,agosto,1,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS TAB PXGL,1157,MACROPAY VILLA PINO SUAREZ,CELULAR,2026,agosto,16,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS TAB PXGL,1177,MACROPAY TUX CALLE SEGUNDA,CELULAR,2026,junio,27,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS TAB PXGL,1188,MACROPAY EMILIANO ZAPATA CORREGIDORA,CELULAR,2026,junio,22,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS TAB PXGL,1211,MACROPAY COMALCALCO CHEDRAUI L 2,CELULAR,2026,julio,4,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS TAB PXGL,1218,MACROPAY COMALCALCO REFORMA,CELULAR,2026,junio,13,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS TAB PXGL,1218,MACROPAY COMALCALCO REFORMA,CELULAR,2026,junio,28,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS TAB PXGL,1428,MACROPAY CHEDRAUI MACUSPANA L6,CELULAR,2026,agosto,4,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS TAB PXGL,1429,MACROPAY COATZACOALCOS JUAREZ,CELULAR,2026,julio,30,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS TAB PXGL,1613,MACROPAY TUXTLA TERAN 2 ORIENTE,CELULAR,2026,junio,9,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS TAB PXGL,1760,MACROPAY VERACRUZ CD ISLA RAUL SANDOVAL,PLUS,2026,junio,22,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS TAB PXGL,1819,MACROPAY PARAISO CENTRO,PLUS,2026,agosto,11,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,STREET,CEDIS TAB PXGL,1868,MACROPAY MATIAS ROMERO MOTOS CENTRO,MOTOS,2026,julio,22,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1130,MACROPAY OAX VICTORIA,CELULAR,2026,mayo,28,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1204,MACROPAY ORIZABA MADERO,CELULAR,2026,julio,9,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1239,MACROPAY ACTOPAN ESCOBEDO,CELULAR,2026,julio,30,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1264,MACROPAY IZUCAR DE MATAMOROS GUERRERO,CELULAR,2026,julio,20,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1274,MACROPAY CIUDAD CARDEL AZUETA,CELULAR,2026,agosto,4,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1301,MACROPAY CHIMALHUACAN PLAZA L48,PLUS,2026,junio,14,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1301,MACROPAY CHIMALHUACAN PLAZA L48,PLUS,2026,agosto,7,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1308,MACROPAY ZINACANTEPEC PLAZA MÍA L15,CELULAR,2026,agosto,2,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1456,MACROPAY PINOTEPA LAS FLORES L1,CELULAR,2026,agosto,9,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1458,MACROPAY NEZA CHEDRAUI ESTADIO,CELULAR,2026,junio,15,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1710,MACROPAY CUAUTLA CAPITAN M ANZUREZ 93B,PLUS,2026,agosto,16,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1721,MACROPAY VERACRUZ AV MATAMOROS NORTE,PLUS,2026,junio,26,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1747,MACROPAY TOLUCA HIDALGO MOTOS,MOTOS,2026,mayo,29,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1755,MACROPAY TLALNEPANTLA MULTI ARBOLEDAS,CELULAR,2026,julio,23,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1787,MACROPAY MEXICALTZINGO NARCISO MENDOZA,CELULAR,2026,mayo,31,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1830,MACROPAY TECAMAC MACROPLAZA LF14,PLUS,2026,agosto,7,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1847,MACROPAY ATLIXCO MOTOS 3 SUR,MOTOS,2026,junio,4,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1866,MACROPAY ATIZAPAN VILLAS HACIENDA,CELULAR,2026,agosto,8,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1881,MACROPAY ORIZABA NORTE 4 ESQ OTE 3,PLUS,2026,mayo,28,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS CDMX,1895,PUEBLA 18 PONIENTE,PLUS,2026,agosto,2,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS GDL,1763,MACROPAY MANZANILLO CENTRO AV MEXICO,CELULAR,2026,julio,10,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS GDL,1812,MACROPAY MICH LAZARO CARDENAS CENTRO,PLUS,2026,agosto,4,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS MID,1015,MACROPAY MID EULOGIO,CELULAR,2026,agosto,15,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS MID,1016,MACROPAY MID MICHOACANA,CELULAR,2026,mayo,30,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS MID,1029,MACROPAY CHT MULTIPLAZA CHEDRAUI,CELULAR,2026,julio,18,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS MID,1029,MACROPAY CHT MULTIPLAZA CHEDRAUI,CELULAR,2026,agosto,11,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS MID,1036,MACROPAY CHT HEROES 109,CELULAR,2026,agosto,8,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS MID,1037,MACROPAY CUN TALLERES,CELULAR,2026,junio,1,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS MID,1065,MACROPAY CUN MALL 1,CELULAR,2026,junio,4,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS MID,1069,MACROPAY MID EMILIO SEIJO,PLUS,2026,julio,20,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",109997002,STREET,CEDIS MID,1100,MACROPAY MID MOTOS CALLE 56,MOTOS,2026,julio,30,1
