Proveedor,Texto breve material,CEDIS MOTOS,SUCURSAL,Centro,Almacén,IMEI/SERIE,Suma de Libre utilización,Suma de Valor libre util.,Suma de Bloqueado,Suma de Valor stock bloq.,Suma de Inspecc.de calidad,Suma de Valor en insp.cal.
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS CDMX,MACROPAY ATLIXCO MOTOS 3 SUR,1847,10,MD2C19BX7TWJ51583,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS CDMX,MACROPAY CHOLULA EXPLANADA RO14B,1238,10,MD2C19BX9TWJ51052,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS CDMX,MACROPAY CUAUTLA CAPITAN M ANZUREZ 93B,1710,10,MD2C19BX8TWJ51057,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS CDMX,MACROPAY HUEJOTZINGO CARLOS B ZETINA,1233,10,MD2C19BX0TWJ51053,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS CDMX,MACROPAY JIUTEPEC CUAUHNAHUAC,1869,10,MD2C19BX0TWJ51585,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS CDMX,MACROPAY PACHUCA EXPLANADA RF35,1237,10,MD2C19BX2TWJ51586,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS CDMX,MACROPAY TEOTIHUACAN PLAZA JUAREZ 15,1297,10,MD2C19BX9TWJ53173,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS CDMX,MACROPAY TEXMELUCAN CENTRO 2,1774,10,MD2C19BX2TWJ51054,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS CDMX,MACROPAY ZUMPANGO FEDERICO,1244,10,MD2C19BXXTWJ51058,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS CULIACAN,MACROPAY DURANGO CENTRO B JUAREZ,1864,10,MD2C19BX5TWH51408,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS CULIACAN,MACROPAY MAZATLAN PLAZA ACAYA L7E,1826,10,MD2C19BX8TWH51452,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS GDL,MACROPAY APATZINGAN CENTRO ANDRADE,1832,10,MD2C19BX1TWH51406,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS GDL,MACROPAY COLIMA CENTRO MADERO,1932,10,MD2C19BX8TWH51404,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS GDL,MACROPAY MANZANILLO PUNTO BAHIA L A13,1736,10,MD2C19BXXTWH51405,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS MID,MACROPAY ESCARCEGA J SIERRA MOTOS,1797,10,MD2C19BX1TWJ51062,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS MID,MACROPAY MID KUKULCAN L03,1390,10,MD2C19BXXTWJ50959,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS MID,MACROPAY PROGRESO MOTOS CALLE 27,1934,10,MD2C19BX6TWH51403,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS SALTILLO,MACROPAY CADEREYTA SORIANA LD5,1585,10,MD2C19BX1TWH51454,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS SALTILLO,MACROPAY ESCOBEDO MI TIENDA L16E,1525,10,MD2C19BXXTWH51453,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS SAN LUIS,MACROPAY FRESNILLO CENTRO,1886,10,MD2C19BX0TWH51459,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS SAN LUIS,MACROPAY SAN LUIS DE LA PAZ CENTRO,1855,10,MD2C19BX9TWH51458,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS TAB PXGL,CEDIS MACROPAY TABASCO PXGL,14,140,MD2C19BX9TWJ51066,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS TAB PXGL,MACROPAY JUAN RODRIGUEZ VER CENTRO,1860,10,MD2C19BX2TWJ50955,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS TAB PXGL,MACROPAY MACUSPANA MOTOS,1901,10,MD2C19BX0TWJ50954,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS TAB PXGL,MACROPAY PARAISO CENTRO,1819,10,MD2C19BX8TWH51399,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS TAB PXGL,MACROPAY TUX MOTOS NOVENA SUR,1875,10,MD2C19BX2TWJ51071,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS TAB PXGL,MACROPAY VERACRUZ CD ISLA RAUL SANDOVAL,1760,10,MD2C19BX4TWJ50956,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS TAB PXGL,MACROPAY VERACRUZ CD ISLA RAUL SANDOVAL,1760,10,MD2C19BX4TWJ51069,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",CEDIS TAB PXGL,MACROPAY VERACRUZ CD ISLA RAUL SANDOVAL,1760,10,MD2C19BX8TWJ50958,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY ATIZAPAN VILLAS HACIENDA,1866,10,MD2C19BX1TWJ54205,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY CDMX PARQUE ALAMEDA L B21,1700,10,MD2C19BX1TWJ54236,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY CHIMALHUACAN PLAZA L48,1301,10,MD2C19BX3TWJ54206,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY CUAU CENTELLA L37,1302,10,MD2C19BX7TWJ54239,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY CUAUTLA CAPITAN M ANZUREZ 93B,1710,10,MD2C19BX7TWJ54208,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY IXMIQUILPAN PLAZA LNL29,1257,10,MD2C19BX7TWJ54242,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY LOS REYES CENTRO TEPOZAN LC24,1783,10,MD2C19BX5TWJ54238,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY LOS REYES CENTRO TEPOZAN LC24,1783,10,MD2C19BXXTWJ54204,1,$29567.33,0,$0,0,0
