Proveedor,Texto breve material,Material,CEDIS MOTOS,Centro,SUCURSAL,Año,Mes,Día,Suma de Cantidad
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS CDMX,1139,MACROPAY CORDOBA AV 6,2026,julio,30,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS CDMX,1400,MACROPAY TLALNEPANTLA ENCUENTRO L29,2026,mayo,31,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS CDMX,1721,MACROPAY VERACRUZ AV MATAMOROS NORTE,2026,junio,28,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS CDMX,1747,MACROPAY TOLUCA HIDALGO MOTOS,2026,julio,22,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS CDMX,1869,MACROPAY JIUTEPEC CUAUHNAHUAC,2026,julio,31,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS CDMX,1881,MACROPAY ORIZABA NORTE 4 ESQ OTE 3,2026,julio,23,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS MID,1015,MACROPAY MID EULOGIO,2026,julio,27,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS MID,1036,MACROPAY CHT HEROES 109,2026,junio,22,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS MID,1100,MACROPAY MID MOTOS CALLE 56,2026,junio,16,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS MID,1454,MACROPAY KANASIN CALLE 21,2026,julio,13,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS MID,1877,MACROPAY CUN CHEDRAUI MUNDO MAYA,2026,junio,14,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS MID,1877,MACROPAY CUN CHEDRAUI MUNDO MAYA,2026,junio,15,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS MID,3007,MACROPAY PLAYA DEL C. AMERICAS L7,2026,julio,6,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS SALTILLO,1585,MACROPAY CADEREYTA SORIANA LD5,2026,julio,9,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS SAN LUIS,1753,MACROPAY TAMPICO CENTRO ADUANA,2026,julio,4,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS SAN LUIS,1857,MACROPAY AGUASCALIENTES V ASUNCION,2026,julio,7,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS TAB PXGL,1114,MACROPAY PARAISO OCAMPO,2026,junio,5,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS TAB PXGL,1134,MACROPAY TUXTEPEC 20 DE NOV,2026,julio,28,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS TAB PXGL,1144,MACROPAY JUCHITAN VALENTIN C,2026,agosto,1,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS TAB PXGL,1177,MACROPAY TUX CALLE SEGUNDA,2026,junio,27,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS TAB PXGL,1188,MACROPAY EMILIANO ZAPATA CORREGIDORA,2026,junio,22,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS TAB PXGL,1211,MACROPAY COMALCALCO CHEDRAUI L 2,2026,julio,4,1
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",109997003,CEDIS TAB PXGL,1218,MACROPAY COMALCALCO REFORMA,2026,junio,13,1
